exercicio,coluna,cod_conta,conta,valor
2019,<MR-11>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",414202320.3
2019,<MR-10>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",360636883.96
2019,<MR-9>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",344216362.73
2019,<MR-8>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",404170218.63
2019,<MR-7>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",424231842.43
2019,<MR-6>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",415867604.91
2019,<MR-5>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",451902150.99
2019,<MR-4>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",410018669.16
2019,<MR-3>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",455989682.93
2019,<MR-2>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",415180794.57
2019,<MR-1>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",399131232.01
2019,<MR>,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",507426263.01
2019,TOTAL (ÚLTIMOS 12 MESES),ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",5002974025.63
2019,PREVISÃO ATUALIZADA 2019,ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB,"Impostos, Taxas e Contribuições de Melhoria",4839294922.05
