exercicio;demonstrativo;periodo;conta;cod_conta;;% (b/a);% (c/a);Até o Bimestre (c);DESPESAS EMPENHADAS ATÉ O BIMESTRE (f);DESPESAS EMPENHADAS NO BIMESTRE;DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h);DESPESAS LIQUIDADAS NO BIMESTRE;DESPESAS PAGAS ATÉ O BIMESTRE (j);DOTAÇÃO ATUALIZADA (e);DOTAÇÃO INICIAL (d);INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (k);No Bimestre (b);PREVISÃO ATUALIZADA (a);PREVISÃO INICIAL;SALDO (a-c);SALDO (g) = (e-f);SALDO (i) = (e-h)
2020;RREO;1;AMORTIZAÇÃO DA DÍVIDA;AmortizacaoDaDivida;;;;;;;;;;;;;;;;;;
2020;RREO;1;Bens, Direitos e Valores Incorporados ao Patrimônio Público;BensDireitosEValoresIncorporadosAoPatrimonioPublico;;;;;;;;;;;;;;;;;;
2020;RREO;1;CONTRIBUIÇÕES;ReceitaDeContribuicoes;;;;;;;;;;;;;;;;;;
2020;RREO;1;CONTRIBUIÇÕES;ReceitaDeContribuicoesIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;Cessão de Direitos;ReceitaDaCessaoDeDireitos;;;;;;;;;;;;;;;;;;
2020;RREO;1;Contribuições Sociais;ContribuicoesSociais;;;;;;;;;;;;;;;;;;
2020;RREO;1;Contribuições Sociais;ContribuicoesSociaisIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII);DespesasExcetoIntraOrcamentarias;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX);DespesasIntraOrcamentarias;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX);DespesasIntraOrcamentariasTotal;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS CORRENTES;DespesasCorrentes;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS CORRENTES;DespesasCorrentesIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS DE CAPITAL;DespesasDeCapital;;;;;;;;;;;;;;;;;;
2020;RREO;1;DESPESAS DE CAPITAL;DespesasDeCapitalIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;Demais Despesas Correntes;DemaisDespesasCorrentes;;;;;;;;;;;;;;;;;;
2020;RREO;1;Demais Receitas Correntes;ReceitasCorrentesDiversas;;;;;;;;;;;;;;;;;;
2020;RREO;1;Demais Receitas Correntes;ReceitasCorrentesDiversasIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;Demais Receitas Patrimoniais;OutrasReceitasPatrimoniais;;;;;;;;;;;;;;;;;;
2020;RREO;1;Demais Receitas de Capital;RREO1OutrasReceitasDeCapitalIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;Exploração do Patrimônio Imobiliário do Estado;ReceitasImobiliarias;;;;;;;;;;;;;;;;;;
2020;RREO;1;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;ReceitaTributaria;;;;;;;;;;;;;;;;;;
2020;RREO;1;INVERSÕES FINANCEIRAS;InversoesFinanceiras;;;;;;;;;;;;;;;;;;
2020;RREO;1;INVESTIMENTOS;Investimentos;;;;;;;;;;;;;;;;;;
2020;RREO;1;INVESTIMENTOS;InvestimentosIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;Impostos;Impostos;;;;;;;;;;;;;;;;;;
2020;RREO;1;Indenizações, Restituições e Ressarcimentos;IndenizacoesERestituicoes;;;;;;;;;;;;;;;;;;
2020;RREO;1;JUROS E ENCARGOS DA DÍVIDA;JurosEEncargosDaDivida;;;;;;;;;;;;;;;;;;
2020;RREO;1;Multas Administrativas, Contratuais e Judiciais;MultasEJurosDeMora;;;;;;;;;;;;;;;;;;
2020;RREO;1;OPERAÇÕES DE CRÉDITO;ReceitasDeOperacoesDeCredito;;;;;;;;;;;;;;;;;;
2020;RREO;1;OUTRAS DESPESAS CORRENTES;OutrasDespesasCorrentes;;;;;;;;;;;;;;;;;;
2020;RREO;1;OUTRAS DESPESAS CORRENTES;OutrasDespesasCorrentesIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;OUTRAS RECEITAS CORRENTES;OutrasReceitasCorrentes;;;;;;;;;;;;;;;;;;
2020;RREO;1;OUTRAS RECEITAS CORRENTES;OutrasReceitasCorrentesIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;OUTRAS RECEITAS DE CAPITAL;OutrasReceitasDeCapitalIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;Operações de Crédito - Mercado Externo;OperacoesDeCreditoExternas;;;;;;;;;;;;;;;;;;
2020;RREO;1;Operações de Crédito - Mercado Interno;OperacoesDeCreditoInternas;;;;;;;;;;;;;;;;;;
2020;RREO;1;Outros Serviços;OutrosServicos;;;;;;;;;;;;;;;;;;
2020;RREO;1;Outros Serviços;OutrosServicosIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;PESSOAL E ENCARGOS SOCIAIS;PessoalEEncargosSociais;;;;;;;;;;;;;;;;;;
2020;RREO;1;PESSOAL E ENCARGOS SOCIAIS;PessoalEEncargosSociaisIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITA DE SERVIÇOS;ReceitaDeServicos;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITA DE SERVIÇOS;ReceitaDeServicosIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITA PATRIMONIAL;ReceitaPatrimonial;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);ReceitasExcetoIntraOrcamentarias;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS (INTRA-ORÇAMENTÁRIAS) (II);ReceitasIntraOrcamentarias;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS (INTRA-ORÇAMENTÁRIAS) (II);ReceitasIntraOrcamentariasTotal;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS CORRENTES;ReceitasCorrentes;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS CORRENTES;ReceitasCorrentesIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS DE CAPITAL;ReceitasDeCapital;;;;;;;;;;;;;;;;;;
2020;RREO;1;RECEITAS DE CAPITAL;ReceitasDeCapitalIntra;;;;;;;;;;;;;;;;;;
2020;RREO;1;RESERVA DE CONTINGÊNCIA;ReservaDeContingencia;;;;;;;;;;;;;;;;;;
2020;RREO;1;RESERVA DO RPPS;ReservaDoRPPS;;;;;;;;;;;;;;;;;;
2020;RREO;1;Recursos Arrecadados em Exercícios Anteriores - RPPS;RecursosArrecadadosEmExerciciosAnteriores;;;;;;;;;;;;;;;;;;
2020;RREO;1;SALDOS DE EXERCÍCIOS ANTERIORES;SaldoDeExerciciosAnterioresUtilizadosParaCreditosAdicionais;;;;;;;;;;;;;;;;;;
2020;RREO;1;SUBTOTAL DAS DESPESAS (X) = (VIII + IX);SubtotalDasDespesas;;;;;;;;;;;;;;;;;;
2020;RREO;1;SUBTOTAL DAS RECEITAS (III) = (I + II);SubtotalDasReceitas;;;;;;;;;;;;;;;;;;
2020;RREO;1;SUPERÁVIT (XIII);Superavit;;;;;;;;;;;;;;;;;;
2020;RREO;1;Serviços Administrativos e Comerciais Gerais;ServicosAdministrativosEComerciaisGerais;;;;;;;;;;;;;;;;;;
