exercicio;demonstrativo;periodo;conta;cod_conta;;<MR-10>;<MR-11>;<MR-1>;<MR-2>;<MR-3>;<MR-4>;<MR-5>;<MR-6>;<MR-7>;<MR-8>;<MR-9>;<MR>;PREVISÃO ATUALIZADA 2024;TOTAL (ÚLTIMOS 12 MESES)
2020;RREO;1;(-) Transferências obrigatórias da União relativas às emendas individuais (art. 166-A, § 1º, da CF)  (IV);RREO3TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais;;;;;;;;;;;;;;;
2020;RREO;1;Compensações Financ. entre Regimes Previdência;CompensacaoFinanceiraEntreRegimesPrevidencia;;;;;;;;;;;;;;;
2020;RREO;1;Contrib. do Servidor para o Plano de Previdência;ContribuicaoDoServidorParaOPlanoDePrevidencia;;;;;;;;;;;;;;;
2020;RREO;1;Contribuições;RREO3ReceitaDeContribuicoes;;;;;;;;;;;;;;;
2020;RREO;1;Cota-Parte do FPE;RREO3CotaParteDoFPE;;;;;;;;;;;;;;;
2020;RREO;1;DEDUÇÕES (II);DeducoesDaReceitaCorrenteLiquida;;;;;;;;;;;;;;;
2020;RREO;1;Dedução de Receita para Formação do FUNDEB;DeducaoDeReceitaParaFormacaoDoFUNDEB;;;;;;;;;;;;;;;
2020;RREO;1;ICMS;ICMSLiquidoExcetoTransferenciasEFUNDEB;;;;;;;;;;;;;;;
2020;RREO;1;IPVA;IPVALiquidoExcetoTransferenciasEFUNDEB;;;;;;;;;;;;;;;
2020;RREO;1;IRRF;IRRFLiquidoExcetoTransferenciasEFUNDEB;;;;;;;;;;;;;;;
2020;RREO;1;ITCD;ITCDLiquidoExcetoTransferenciasEFUNDEB;;;;;;;;;;;;;;;
2020;RREO;1;Impostos, Taxas e Contribuições de Melhoria;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;;;;;;;;;;;;;;;
2020;RREO;1;Outras Receitas Correntes;RREO3OutrasReceitasCorrentes;;;;;;;;;;;;;;;
2020;RREO;1;Outras Receitas Patrimoniais;OutrasReceitasPatrimoniais;;;;;;;;;;;;;;;
2020;RREO;1;Outras Transferências Correntes;RREO3OutrasTransferenciasCorrentes;;;;;;;;;;;;;;;
2020;RREO;1;Outros Impostos, Taxas e Contribuições de Melhoria;OutrasReceitasTributarias;;;;;;;;;;;;;;;
2020;RREO;1;RECEITA CORRENTE LÍQUIDA (III) = (I - II);RREO3ReceitaCorrenteLiquida;;;;;;;;;;;;;;;
