exercicio,conta,PREVISÃO ATUALIZADA (a),No Bimestre (b)
2019,ALIENAÇÃO DE BENS,367100.0,830126.6
2019,AMORTIZAÇÃO DA DÍVIDA,,
2019,Alienação de Bens Móveis,367100.0,830126.6
2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",80000.0,
2019,CONTRIBUIÇÕES,714006479.0,158256381.26999998
2019,Cessão de Direitos,16173537.28,4789270.23
2019,Contribuições Sociais,714006479.0,158256381.26999998
2019,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),,
2019,DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX),,
2019,DESPESAS CORRENTES,,
2019,DESPESAS DE CAPITAL,,
2019,Demais Despesas Correntes,,
2019,Demais Receitas Correntes,203998599.44,31508935.85
2019,Demais Receitas Patrimoniais,1083800.0,128405.91
2019,Demais Receitas de Capital,,2155433.65
2019,Exploração do Patrimônio Imobiliário do Estado,450000.0,76666.5
2019,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",3038738634.85,592437080.24
2019,INVERSÕES FINANCEIRAS,,
2019,INVESTIMENTOS,,
2019,Impostos,2910133515.56,567659797.32
2019,"Indenizações, Restituições e Ressarcimentos",10663281.49,4285808.83
2019,JUROS E ENCARGOS DA DÍVIDA,,
2019,"Multas Administrativas, Contratuais e Judiciais",21248029.32,4588668.08
2019,OPERAÇÕES DE CRÉDITO,174068000.0,
2019,OUTRAS DESPESAS CORRENTES,,
2019,OUTRAS RECEITAS CORRENTES,235989910.25,40383412.76
2019,OUTRAS RECEITAS DE CAPITAL,,2155433.65
2019,Operações de Crédito - Mercado Interno,174068000.0,
2019,Outros Serviços,3601000.0,971181.56
2019,PESSOAL E ENCARGOS SOCIAIS,,
2019,RECEITA DE SERVIÇOS,265192712.36,39774366.59
2019,RECEITA PATRIMONIAL,307777539.86,96163153.06
2019,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),8138926716.83,1676610414.29
2019,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),655822000.0,156912182.58
2019,RECEITAS CORRENTES,8130498869.74,1747027395.0900002
2019,RECEITAS DE CAPITAL,336338847.09,8039110.49
2019,RESERVA DE CONTINGÊNCIA,,
2019,RESERVA DO RPPS,,
2019,SALDOS DE EXERCÍCIOS ANTERIORES,531897612.03,
2019,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),8466837716.83,1755066505.58
2019,SUBTOTAL COM REFINANCIAMENTO (XII) = (X + XI),,
2019,SUBTOTAL DAS DESPESAS (X) = (VIII + IX),,
2019,SUBTOTAL DAS RECEITAS (III) = (I + II),8466837716.83,1755066505.58
2019,SUPERÁVIT (XIII),,
2019,Serviços Administrativos e Comerciais Gerais,261591712.36,38803185.03
2019,Superávit Financeiro Utilizado para Créditos Adicionais,531897612.03,
2019,TOTAL (VII) = (V + VI),8466837716.83,1755066505.58
2019,TOTAL (XIV) = (XII + XIII),,
2019,TRANSFERÊNCIAS CORRENTES,3568793593.42,820013001.17
2019,TRANSFERÊNCIAS DE CAPITAL,161903747.09,5053550.24
2019,Taxas,128605119.29,24777282.92
2019,Transferências da União e de suas Entidades,2853303036.6600003,662020910.5600001
2019,Transferências de Instituições Privadas,3555000.0,172751.44
2019,Transferências de Outras Instituições Públicas,866084403.91,161743423.53
2019,Transferências de Pessoas Físicas,22899.94,
2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,3560000.0,
2019,Transferências dos Municípios e de suas Entidades,4172000.0,1129465.88
2019,Valores Mobiliários,290070202.58,91168810.42
2020,ALIENAÇÃO DE BENS,,660467.13
2020,AMORTIZAÇÃO DA DÍVIDA,,
2020,Alienação de Bens Imóveis,,
2020,Alienação de Bens Móveis,,660467.13
2020,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",23071.0,
2020,CONTRIBUIÇÕES,694683966.9,172537925.57
2020,Cessão de Direitos,9074466.0,5308270.1
2020,Contribuições Sociais,694683966.9,172537925.57
2020,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),,
2020,DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX),,
2020,DESPESAS CORRENTES,,
2020,DESPESAS DE CAPITAL,,
2020,Demais Despesas Correntes,,
2020,Demais Receitas Correntes,235031651.0,34980875.8
2020,Demais Receitas Patrimoniais,,14252.5
2020,Demais Receitas de Capital,9384.0,1106499.97
2020,Exploração do Patrimônio Imobiliário do Estado,299307.0,84249.0
2020,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",3056948889.0,701455596.36
2020,INVERSÕES FINANCEIRAS,,
2020,INVESTIMENTOS,,
2020,Impostos,2923529161.0,677933758.88
2020,"Indenizações, Restituições e Ressarcimentos",11997942.0,13097156.42
2020,JUROS E ENCARGOS DA DÍVIDA,,
2020,"Multas Administrativas, Contratuais e Judiciais",27299348.0,2879500.8
2020,OPERAÇÕES DE CRÉDITO,18529969.0,
2020,OUTRAS DESPESAS CORRENTES,,
2020,OUTRAS RECEITAS CORRENTES,274352012.0,50957533.02
2020,OUTRAS RECEITAS DE CAPITAL,9384.0,1106499.97
2020,Operações de Crédito - Mercado Externo,13529969.0,
2020,Operações de Crédito - Mercado Interno,5000000.0,
2020,Outros Serviços,9164040.0,1345526.28
2020,PESSOAL E ENCARGOS SOCIAIS,,
2020,RECEITA DE SERVIÇOS,269213127.0,44770185.83
2020,RECEITA PATRIMONIAL,372440955.4,122749704.92
2020,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),9213926883.94,1811557781.83
2020,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),607188070.0,154991998.58
2020,RECEITAS CORRENTES,9107891272.35,1861701257.58
2020,RECEITAS DE CAPITAL,409629646.59,27352523.54
2020,RESERVA DE CONTINGÊNCIA,,
2020,RESERVA DO RPPS,,
2020,Recursos Arrecadados em Exercícios Anteriores - RPPS,364103497.0,
2020,SALDOS DE EXERCÍCIOS ANTERIORES,1233163234.37,
2020,SUBTOTAL DAS DESPESAS (X) = (VIII + IX),,
2020,SUBTOTAL DAS RECEITAS (III) = (I + II),9517520918.94,1889053781.12
2020,SUPERÁVIT (XIII),,
2020,Serviços Administrativos e Comerciais Gerais,260049087.0,43424659.55
2020,Superávit Financeiro Utilizado para Créditos Adicionais,869059737.37,
2020,TOTAL COM DÉFICIT (VII) = (V + VI),9517520918.94,1889053781.12
2020,TOTAL COM SUPERÁVIT (XIV) = (XII + XIII),,
2020,TOTAL DAS DESPESAS (XII) = (X + XI),,
2020,TOTAL DAS RECEITAS (V) = (III + IV),9517520918.94,1889053781.12
2020,TRANSFERÊNCIAS CORRENTES,4440252322.05,769230311.88
2020,TRANSFERÊNCIAS DE CAPITAL,391090293.59,25585556.44
2020,Taxas,133419728.0,23521837.48
2020,Transferências da União e de suas Entidades,3949044593.6200004,619138947.2
2020,Transferências de Instituições Privadas,1160106.0,210996.08
2020,Transferências de Outras Instituições Públicas,880630505.02,175383629.71
2020,Transferências de Pessoas Físicas,11858.0,
2020,Transferências dos Estados e do Distrito Federal e de suas Entidades,,
2020,Transferências dos Municípios e de suas Entidades,495553.0,82295.33
2020,Valores Mobiliários,363067182.4,117342933.32
2021,ALIENAÇÃO DE BENS,2301275.71,2476624.99
2021,AMORTIZAÇÃO DA DÍVIDA,,
2021,Alienação de Bens Imóveis,,2476624.99
2021,Alienação de Bens Móveis,2301275.71,
2021,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",1059.12,
2021,CONTRIBUIÇÕES,682238546.06,236696543.41000003
2021,Cessão de Direitos,23274911.0,11106134.34
2021,Contribuições Sociais,682238546.06,236696543.41000003
2021,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),,
2021,DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX),,
2021,DESPESAS CORRENTES,,
2021,DESPESAS DE CAPITAL,,
2021,Demais Despesas Correntes,,
2021,Demais Receitas Correntes,196890998.0,44159682.11
2021,Demais Receitas Patrimoniais,5692.0,29794.1
2021,Demais Receitas de Capital,,
2021,Exploração do Patrimônio Imobiliário do Estado,650800.0,110368.98
2021,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",3540748337.99,902130396.52
2021,INVERSÕES FINANCEIRAS,,
2021,INVESTIMENTOS,,
2021,Impostos,3391928964.99,872806962.2
2021,"Indenizações, Restituições e Ressarcimentos",17412770.59,10945645.54
2021,JUROS E ENCARGOS DA DÍVIDA,,
2021,"Multas Administrativas, Contratuais e Judiciais",35650261.46,16424799.98
2021,OPERAÇÕES DE CRÉDITO,1001000.0,253121.74
2021,OUTRAS DESPESAS CORRENTES,,
2021,OUTRAS RECEITAS CORRENTES,249955089.17,71530127.63
2021,OUTRAS RECEITAS DE CAPITAL,,
